depmap_id,lineage_1
ACH-000007,Bowel
ACH-000008,Skin
ACH-000012,Lung
ACH-000014,Skin
ACH-000015,Lung
ACH-000018,Bladder/Urinary Tract
ACH-000019,Breast
ACH-000021,Lung
ACH-000023,Pancreas
ACH-000035,Lung
ACH-000040,CNS/Brain
ACH-000042,Pancreas
ACH-000052,Bone
ACH-000054,Soft Tissue
ACH-000062,Lung
ACH-000087,Bone
ACH-000090,Prostate
ACH-000091,Ovary/Fallopian Tube
ACH-000097,Breast
ACH-000098,CNS/Brain
ACH-000117,Breast
ACH-000118,Pancreas
ACH-000132,Ovary/Fallopian Tube
ACH-000138,Pancreas
ACH-000147,Breast
ACH-000153,Pleura
ACH-000159,Kidney
ACH-000161,Lung
ACH-000164,Pancreas
ACH-000169,Soft Tissue
ACH-000188,Head and Neck
ACH-000192,Uterus
ACH-000201,Kidney
ACH-000207,Head and Neck
ACH-000209,Biliary Tract
ACH-000211,CNS/Brain
ACH-000217,Liver
ACH-000219,Skin
ACH-000222,Pancreas
ACH-000223,Breast
ACH-000242,Bladder/Urinary Tract
ACH-000243,Pancreas
ACH-000250,Kidney
ACH-000255,Esophagus/Stomach
ACH-000260,Peripheral Nervous System
ACH-000276,Breast
ACH-000278,Ovary/Fallopian Tube
ACH-000281,Pancreas
ACH-000288,Breast
ACH-000311,Lung
ACH-000318,Esophagus/Stomach
ACH-000335,Pleura
ACH-000343,Lung
ACH-000347,Pancreas
ACH-000351,Esophagus/Stomach
ACH-000356,Esophagus/Stomach
ACH-000361,Liver
ACH-000364,Bone
ACH-000367,Pleura
ACH-000368,CNS/Brain
ACH-000374,Breast
ACH-000375,Kidney
ACH-000376,CNS/Brain
ACH-000383,Esophagus/Stomach
ACH-000390,Lung
ACH-000393,Liver
ACH-000395,Lung
ACH-000403,Bowel
ACH-000404,Skin
ACH-000407,Uterus
ACH-000411,Kidney
ACH-000414,Lung
ACH-000415,Head and Neck
ACH-000420,Liver
ACH-000421,Bowel
ACH-000423,Skin
ACH-000425,Skin
ACH-000427,Esophagus/Stomach
ACH-000433,Kidney
ACH-000447,Lung
ACH-000454,Lung
ACH-000463,Lung
ACH-000473,Bladder/Urinary Tract
ACH-000479,CNS/Brain
ACH-000480,Liver
ACH-000481,Lung
ACH-000484,Kidney
ACH-000486,Bladder/Urinary Tract
ACH-000493,Liver
ACH-000495,Kidney
ACH-000496,Lung
ACH-000521,Lung
ACH-000524,Ovary/Fallopian Tube
ACH-000528,Lung
ACH-000532,Bowel
ACH-000535,Pancreas
ACH-000552,Bowel
ACH-000553,Lung
ACH-000558,CNS/Brain
ACH-000563,Lung
ACH-000573,Breast
ACH-000582,Skin
ACH-000587,Lung
ACH-000589,Lung
ACH-000595,CNS/Brain
ACH-000601,Pancreas
ACH-000614,Skin
ACH-000620,Liver
ACH-000622,CNS/Brain
ACH-000624,Breast
ACH-000625,Liver
ACH-000627,Lung
ACH-000643,Breast
ACH-000647,Esophagus/Stomach
ACH-000649,Kidney
ACH-000651,Bowel
ACH-000661,Skin
ACH-000662,Lung
ACH-000666,Lung
ACH-000667,Lung
ACH-000670,Lung
ACH-000671,Liver
ACH-000672,Lung
ACH-000677,Lung
ACH-000678,Esophagus/Stomach
ACH-000680,Bowel
ACH-000681,Lung
ACH-000684,Kidney
ACH-000685,Pancreas
ACH-000693,Esophagus/Stomach
ACH-000696,Ovary/Fallopian Tube
ACH-000701,Ovary/Fallopian Tube
ACH-000713,Ovary/Fallopian Tube
ACH-000720,Bladder/Urinary Tract
ACH-000724,Bladder/Urinary Tract
ACH-000726,Esophagus/Stomach
ACH-000730,Skin
ACH-000734,Liver
ACH-000738,CNS/Brain
ACH-000741,Bladder/Urinary Tract
ACH-000747,Lung
ACH-000748,Bone
ACH-000750,Skin
ACH-000753,Bladder/Urinary Tract
ACH-000768,Breast
ACH-000769,Lung
ACH-000777,Esophagus/Stomach
ACH-000778,Head and Neck
ACH-000783,Breast
ACH-000784,Esophagus/Stomach
ACH-000785,Lung
ACH-000787,Lung
ACH-000788,Skin
ACH-000800,Lung
ACH-000805,Skin
ACH-000809,Esophagus/Stomach
ACH-000810,Skin
ACH-000824,Esophagus/Stomach
ACH-000827,Skin
ACH-000832,Head and Neck
ACH-000833,Soft Tissue
ACH-000846,Head and Neck
ACH-000848,Liver
ACH-000849,Breast
ACH-000853,Lung
ACH-000856,Breast
ACH-000860,Lung
ACH-000866,Lung
ACH-000869,Lung
ACH-000878,Lung
ACH-000879,Uterus
ACH-000880,Esophagus/Stomach
ACH-000881,Skin
ACH-000882,Skin
ACH-000886,Lung
ACH-000890,Lung
ACH-000895,Bowel
ACH-000898,Esophagus/Stomach
ACH-000899,Skin
ACH-000900,Lung
ACH-000909,Uterus
ACH-000911,Esophagus/Stomach
ACH-000915,Skin
ACH-000916,Lung
ACH-000917,Esophagus/Stomach
ACH-000919,Esophagus/Stomach
ACH-000926,Bowel
ACH-000929,Lung
ACH-000946,Uterus
ACH-000954,Uterus
ACH-000956,Prostate
ACH-000957,Bowel
ACH-000958,Bowel
ACH-000966,Ovary/Fallopian Tube
ACH-000967,Bowel
ACH-000970,Bowel
ACH-000971,Bowel
ACH-000974,Uterus
ACH-000977,Prostate
ACH-000979,Prostate
ACH-000984,Uterus
ACH-000985,Bowel
ACH-000987,Skin
ACH-000988,Uterus
ACH-000990,Uterus
ACH-000994,Uterus
ACH-000996,Uterus
ACH-000997,Bowel
ACH-001075,Lung
ACH-001190,Skin
ACH-001239,Skin
ACH-001306,Thyroid
ACH-001307,Thyroid
